(01) CONVERSION-FLAG,(30) PO-NUMBER        ,(40) SHIP-NAME        ,(40) SHIP-ADDRESS-1   ,(40) SHIP-ADDRESS-2   ,(40) SHIP-ADDRESS-3   ,(40) SHIP-ADDRESS-4   ,(40) SHIP-ADDRESS-5   ,(25) SHIP-CITY        ,(02) SHIP-STATE,(13) SHIP-ZIP         ,(25) SHIP-COUNTRY     ,(30) CONTACT          ,(20) CONTACT-PHONE    ,(38) BUYER-PART-NBR   ,(16) ORDER-QTY        ,(16) UNIT-PRICE       ,(10) ITEM-PROMISE-DATE,(20) SHIP-VIA,(19) WAYBILL ,(06) CARRIER                 ,(40) SHIP-ATTN     ,(40) BILL-NAME     ,(40) BILL-ADDRESS-1,(40) BILL-ADDRESS-2,(40) BILL-ADDRESS-3,(40) BILL-ADDRESS-4,(40) BILL-ADDRESS-5,(25) BILL-CITY     ,(02) BILL-STATE    ,(13) BILL-ZIP      ,(25) BILL-COUNTRY  ,(40) BILL-ATTN     ,(01) BILL-INTL-FLAG,(30) HDR-USER-2    ,(30) HDR-USER-3    ,(30) HDR-USER-4    ,(30) HDR-USER-5    ,(20) ORDER-SORT    ,(30) ORDER-SORT-2  ,(100)EMAIL         ,(03) PO-LINE-NBR   ,(20) INFO-1        ,(20) INFO-2        ,(30) LINE-USER-1   ,(30) LINE-USER-2   ,(30) LINE-USER-3   ,(30) LINE-USER-4   ,(17)L-SHIP-TO-CODE,BUYER-ID
NO,RC121015E33,DOLLAR GENERAL # 9811,180 RIVER PLACE AVE,,,,,BOWLING GREEN,KY,42101-7128,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E34,DOLLAR GENERAL # 9816,1003 W MAIN ST,,,,,WOODBURY,TN,37190-1040,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E34,DOLLAR GENERAL # 9816,1003 W MAIN ST,,,,,WOODBURY,TX,37190-1040,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPTX,PEPSI
NO,RC121015E35,DOLLAR GENERAL # 9818,1447 W MAIN ST,,,,,LEBANON,TN,37087-3113,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E35,DOLLAR GENERAL # 9818,1447 W MAIN ST,,,,,LEBANON,TN,37087-3113,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E36,DOLLAR GENERAL # 9821,301 E THOMPSON LN,,,,,NASHVILLE,TN,37211-2615,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E36,DOLLAR GENERAL # 9821,301 E THOMPSON LN,,,,,NASHVILLE,TN,37211-2615,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E37,DOLLAR GENERAL # 9822,4491 LEBANON PIKE,,,,,HERMITAGE,TN,37076-1311,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E37,DOLLAR GENERAL # 9822,4491 LEBANON PIKE,,,,,HERMITAGE,TN,37076-1311,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E38,DOLLAR GENERAL # 12006,2907 HIGHWAY 31 W,,,,,WHITE HOUSE,TN,37188-5227,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E38,DOLLAR GENERAL # 12006,2907 HIGHWAY 31 W,,,,,WHITE HOUSE,TN,37188-5227,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E39,DOLLAR GENERAL # 13126,2001 ST. BERNARD,,,,,NEW ORLEANS,LA,70116-1318,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E39,DOLLAR GENERAL # 13126,2001 ST. BERNARD,,,,,NEW ORLEANS,LA,70116-1318,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E40,DOLLAR GENERAL # 14917,78258 HWY 437,,,,,COVINGTON,LA,70435-0405,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E40,DOLLAR GENERAL # 14917,78258 HWY 437,,,,,COVINGTON,LA,70435-0405,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E41,DOLLAR GENERAL # 13154,550 WEST HWY 98 AVE D,,,,,PORT SAINT JOE,FL,32456-5100,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E41,DOLLAR GENERAL # 13154,550 WEST HWY 98 AVE D,,,,,PORT SAINT JOE,FL,32456-5100,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E42,DOLLAR GENERAL # 13186,140 NORTH KELLY ROAD,,,,,SLOCOMB,AL,36375-5497,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E42,DOLLAR GENERAL # 13186,140 NORTH KELLY ROAD,,,,,SLOCOMB,AL,36375-5497,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E43,DOLLAR GENERAL # 12020,1065 READING RD # US42,,,,,MASON,OH,45040-1306,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E43,DOLLAR GENERAL # 12020,1065 READING RD # US42,,,,,MASON,OH,45040-1306,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E44,DOLLAR GENERAL # 13516,79 RIDGEWAY AVE,,,,,FALMOUTH,KY,41040-8532,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E44,DOLLAR GENERAL # 13516,79 RIDGEWAY AVE,,,,,FALMOUTH,KY,41040-8532,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E45,DOLLAR GENERAL # 12022,1733 PEARL RD STE 16,,,,,BRUNSWICK,OH,44212-3400,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E45,DOLLAR GENERAL # 12022,1733 PEARL RD STE 16,,,,,BRUNSWICK,OH,44212-3400,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E46,DOLLAR GENERAL # 12024,1193 PARK AVE W,,,,,MANSFIELD,OH,44906-2855,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E46,DOLLAR GENERAL # 12024,1193 PARK AVE W,,,,,MANSFIELD,OH,44906-2855,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E47,DOLLAR GENERAL # 12011,RR 3 BOX 500B,,,,,WELLSBURG,WV,26070-9775,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E47,DOLLAR GENERAL # 12011,RR 3 BOX 500B,,,,,WELLSBURG,WV,26070-9775,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E48,DOLLAR GENERAL # 12012,1305 CANTON RD NW,,,,,CARROLLTON,OH,44615-8406,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E48,DOLLAR GENERAL # 12012,1305 CANTON RD NW,,,,,CARROLLTON,OH,44615-8406,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E49,DOLLAR GENERAL # 12021,237 E MCCAULEY DR,,,,,UHRICHSVILLE,OH,44683-1147,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E49,DOLLAR GENERAL # 12021,237 E MCCAULEY DR,,,,,UHRICHSVILLE,OH,44683-1147,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E50,DOLLAR GENERAL # 13921,5120 YOUNGSTOWN WARREN ROAD,,,,,NILES,OH,44446-4902,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E50,DOLLAR GENERAL # 13921,5120 YOUNGSTOWN WARREN ROAD,,,,,NILES,OH,44446-4902,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E51,DOLLAR GENERAL # 13439,2850 BATTLEFIELD PARKWAY,,,,,RESACA,GA,30735-6082,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E51,DOLLAR GENERAL # 13439,2850 BATTLEFIELD PARKWAY,,,,,RESACA,GA,30735-6082,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E52,DOLLAR GENERAL # 13517,2411 JEFFERSON RD STE B,,,,,ATHENS,GA,30607-1202,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E52,DOLLAR GENERAL # 13517,2411 JEFFERSON RD STE B,,,,,ATHENS,GA,30607-1202,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E53,DOLLAR GENERAL # 13877,1895 ATLANTA HWY SE,,,,,STATHAM,GA,30666,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E53,DOLLAR GENERAL # 13877,1895 ATLANTA HWY SE,,,,,STATHAM,GA,30666,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E54,DOLLAR GENERAL # 9830,1164 N MAIN ST,,,,,CEDARTOWN,GA,30125-2039,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E54,DOLLAR GENERAL # 9830,1164 N MAIN ST,,,,,CEDARTOWN,GA,30125-2039,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E55,DOLLAR GENERAL # 9814,1370 GRAY HWY,,,,,MACON,GA,31211-1949,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E55,DOLLAR GENERAL # 9814,1370 GRAY HWY,,,,,MACON,GA,31211-1949,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E56,DOLLAR GENERAL # 12018,1313 W 3RD ST,,,,,JACKSON,GA,30233-1853,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E56,DOLLAR GENERAL # 12018,1313 W 3RD ST,,,,,JACKSON,GA,30233-1853,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E57,DOLLAR GENERAL # 13392,280 E DYKES ST,,,,,COCHRAN,GA,31014-6522,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E57,DOLLAR GENERAL # 13392,280 E DYKES ST,,,,,COCHRAN,GA,31014-6522,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E58,DOLLAR GENERAL # 13513,1211 EAST UNION ST,,,,,VIENNA,GA,31092-7546,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E58,DOLLAR GENERAL # 13513,1211 EAST UNION ST,,,,,VIENNA,GA,31092-7546,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E59,DOLLAR GENERAL # 13604,100 NORTH CAMELIA BLVD,,,,,FORT VALLEY,GA,31030-3078,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E59,DOLLAR GENERAL # 13604,100 NORTH CAMELIA BLVD,,,,,FORT VALLEY,GA,31030-3078,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E60,DOLLAR GENERAL # 13929,509 E MCPHERSON AVE,,,,,NASHVILLE,GA,31639-2254,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E60,DOLLAR GENERAL # 13929,509 E MCPHERSON AVE,,,,,NASHVILLE,GA,31639-2254,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E61,DOLLAR GENERAL # 14022,160 NORTH STATE STREET,,,,,LYONS,GA,30436,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E61,DOLLAR GENERAL # 14022,160 NORTH STATE STREET,,,,,LYONS,GA,30436,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E62,DOLLAR GENERAL # 12013,916 B VIRGINIA AVENUE P O BOX 1676,,,,,CLARKSVILLE,VA,23927-1676,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E62,DOLLAR GENERAL # 12013,916 B VIRGINIA AVENUE P O BOX 1676,,,,,CLARKSVILLE,VA,23927-1676,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E63,DOLLAR GENERAL # 14906,2001 PINEY FOREST RD.,,,,,DANVILLE,VA,24540,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E63,DOLLAR GENERAL # 14906,2001 PINEY FOREST RD.,,,,,DANVILLE,VA,24540,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E64,DOLLAR GENERAL # 13226,2900 NILES STREET,,,,,BAKERSFIELD,CA,93306-4247,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E64,DOLLAR GENERAL # 13226,2900 NILES STREET,,,,,BAKERSFIELD,CA,93306-4247,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E65,DOLLAR GENERAL # 12016,3430 TAYLOR BLVD,,,,,LOUISVILLE,KY,40215-2648,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E65,DOLLAR GENERAL # 12016,3430 TAYLOR BLVD,,,,,LOUISVILLE,KY,40215-2648,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E66,DOLLAR GENERAL # 13176,100 COMMERCE ST,,,,,BRONSON,FL,32621-6704,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E66,DOLLAR GENERAL # 13176,100 COMMERCE ST,,,,,BRONSON,FL,32621-6704,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E67,DOLLAR GENERAL # 13296,125 CARTER BLVD.,,,,,POLK CITY,FL,33868-9038,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E67,DOLLAR GENERAL # 13296,125 CARTER BLVD.,,,,,POLK CITY,FL,33868-9038,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
