NO,PO,DelName,DelContactPhoneNumber,ADDR1,Addr2,DivLoc,ApptInfo,CITY,State,Zip,COUNTRY,DELCONTACT,PhoneNumber,PartNum,Quantity,,ReqShipDate,FREIGHT,,CARRIER,,BILL TO ,BILL TO EMAIL ADDRESS,,,,,BILL TO CITY,BILL TO STATE,BILL TO ZIPCODE
NO,LG022616E87,DOLLAR GENERAL #7300,,1206 ALBERTSON PKWY,,,,BROUSSARD,LA,70518,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BROUSSARD,LA,70518
NO,LG022616E88,DOLLAR GENERAL #8685,,220 STURGIS RD,,,,MARION,KY,42064,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MARION,KY,42064
NO,LG022616E89,DOLLAR GENERAL #11367,,9576 STATE ROUTE 45 S,,,,WINGO,KY,42088,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WINGO,KY,42088
NO,LG022616E90,DOLLAR GENERAL #11545,,8517 US HIGHWAY 68 E,,,,BENTON,KY,42025,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BENTON,KY,42025
NO,LG022616E91,DOLLAR GENERAL #6090,,6958 S FLORIDA AVE,,,,FLORAL CITY,FL,34436,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,FLORAL CITY,FL,34436
NO,LG022616E92,DOLLAR GENERAL #10627,,2611 S CAGE RD,,,,PHARR,TX,78577,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PHARR,TX,78577
NO,LG022616E93,DOLLAR GENERAL #11207,,1550 OCEAN SHORE BLVD,,,,ORMOND BEACH,FL,32176,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ORMOND BEACH,FL,32176
NO,LG022616E94,DOLLAR GENERAL #11256,,462 E MERCER,,,,JASPER,MO,64755,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,JASPER,MO,64755
NO,LG022616E95,DOLLAR GENERAL #11449,,9635 N CITRUS SPRINGS BLV,,,,CITRUS SPRINGS,FL,34434,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CITRUS SPRINGS,FL,34434
NO,LG022616E96,DOLLAR GENERAL #11534,,469 N MARKET BLVD,,,,WEBSTER,FL,33597,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WEBSTER,FL,33597
NO,LG022616E97,DOLLAR GENERAL #11533,,107 S US HIGHWAY 1,,,,OAK HILL,FL,32759,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,OAK HILL,FL,32759
NO,LG022616E98,DOLLAR GENERAL #1433,,2114 SCHOTTHILL WOODS DR,,,,JEFFERSON CITY,MO,65101,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,JEFFERSON CITY,MO,65101
NO,LG022616E99,DOLLAR GENERAL #1045,,5744 W MAIN ST,,,,HOUMA,LA,70360,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HOUMA,LA,70360
NO,LG022616E100,DOLLAR GENERAL #11322,,77280 LANDRY DRIVE,,,,MARINGOUIN,LA,70757,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MARINGOUIN,LA,70757
NO,LG022616E101,DOLLAR GENERAL #11397,,12100 ST HWY 81 SOUTH,,,,SACRAMENTO,KY,42372,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SACRAMENTO,KY,42372
NO,LG022616E102,DOLLAR GENERAL #11743,,410 S COMMERCIAL,,,,CROCKER,MO,65452,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CROCKER,MO,65452
NO,LG022616E103,DOLLAR GENERAL #10241,,139 N FM 3167,,,,RIO GRANDE CITY,TX,78582,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RIO GRANDE CITY,TX,78582
NO,LG022616E104,DOLLAR GENERAL #11349,,1512 S WOODLAND BLVD,,,,DE LAND,FL,32720,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,DE LAND,FL,32720
NO,LG022616E105,DOLLAR GENERAL #7231,,1726 S KANSAS EXPY,,,,SPRINGFIELD,MO,65807,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SPRINGFIELD,MO,65807
NO,LG022616E106,DOLLAR GENERAL #16352,,22281 HWY 62,,,,SHADY COVE,OR,97539,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SHADY COVE,OR,97539
NO,LG022616E107,DOLLAR GENERAL #16357,,1000 SANDFLAT ROAD,,,,MERIDIAN,MS,39301,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MERIDIAN,MS,39301
NO,LG022616E108,DOLLAR GENERAL #16312,,13079 BROADWAY DR,,,,MCCALLA,AL,35111,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MCCALLA,AL,35111
NO,LG022616E109,DOLLAR GENERAL #16390,,8921 US HIGHWAY 17,,,,POLLOCKSVILLE,NC,28573,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,POLLOCKSVILLE,NC,28573
NO,LG022616E110,DOLLAR GENERAL #15895,,5469 FORT HENRY DR,,,,KINGSPORT,TN,37663,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,KINGSPORT,TN,37663
NO,LG022616E111,DOLLAR GENERAL #16011,,280 FM 2821 WEST,,,,HUNTSVILLE,TX,77320,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HUNTSVILLE,TX,77320
NO,LG022616E112,DOLLAR GENERAL #16066,,4735 MIDDLEWAY PIKE,,,,KEARNEYSVILLE,WV,25430,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,KEARNEYSVILLE,WV,25430
NO,LG022616E113,DOLLAR GENERAL #16192,,28414 E STATE RD 78,,,,OKEECHOBEE,FL,34974,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,OKEECHOBEE,FL,34974
NO,LG022616E114,DOLLAR GENERAL #16331,,505 WEST HALL STREET,,,,HATCH,NM,87937,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HATCH,NM,87937
NO,LG022616E115,DOLLAR GENERAL #16395,,6610 LOUISVILLE RD,,,,BOWLING GREEN,KY,42101,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BOWLING GREEN,KY,42101
NO,LG022616E116,DOLLAR GENERAL #16403,,5311 US 70,,,,MEAD,OK,73449,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MEAD,OK,73449
NO,LG022616E117,DOLLAR GENERAL #16409,,410 W. SANTA CLARA BRIDGE RD,,,,ESPANOLA,NM,87532,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ESPANOLA,NM,87532
NO,LG022616E118,DOLLAR GENERAL #16411,,4762 SR42,,,,CLOVERDALE,IN,46120,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CLOVERDALE,IN,46120
NO,LG022616E119,DOLLAR GENERAL #16450,,605 E 7TH ST,,,,STARBUCK,MN,56381,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,STARBUCK,MN,56381
NO,LG022616E120,DOLLAR GENERAL #16462,,9150 W US HWY 377,,,,TOLAR,TX,76476,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,TOLAR,TX,76476
NO,LG022616E121,DOLLAR GENERAL #16478,,1100 S. COTTAGE AVE,,,,NORMAL,IL,61761,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NORMAL,IL,61761
NO,LG022616E122,DOLLAR GENERAL #16508,,1017 S. MAIN STREET,,,,LENNOX,SD,57039,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LENNOX,SD,57039
NO,LG022616E123,DOLLAR GENERAL #16265,,117 STOKES LANDING RD,,,,SAINT AUGUSTINE,FL,32095,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SAINT AUGUSTINE,FL,32095
NO,LG022616E124,DOLLAR GENERAL #16268,,3661 RANSOMVILLE ROAD,,,,RANSOMVILLE,NY,14131,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RANSOMVILLE,NY,14131
NO,LG022616E125,DOLLAR GENERAL #16384,,5622 MCNUTT ROAD,,,,SANTA TERESA,NM,88008,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SANTA TERESA,NM,88008
NO,LG022616E126,DOLLAR GENERAL #16413,,7129 STATE HIGHWAY 107,,,,MCALLEN,TX,78504,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MCALLEN,TX,78504
NO,LG022616E127,DOLLAR GENERAL #16417,,2504 FERRNDALE CUTTOFF,,,,LITTLE ROCK,AR,72223,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LITTLE ROCK,AR,72223
NO,LG022616E128,DOLLAR GENERAL #16422,,11258 OLD TULLAHOMA RD,,,,TULLAHOMA,TN,37388,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,TULLAHOMA,TN,37388
NO,LG022616E129,DOLLAR GENERAL #16448,,7150 SR 124,,,,RUSSELLVILLE,AR,72802,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RUSSELLVILLE,AR,72802
NO,LG022616E130,DOLLAR GENERAL #16458,,100 COUNTY 1 W,,,,PINE RIVER,MN,56474,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PINE RIVER,MN,56474
NO,LG022616E131,DOLLAR GENERAL #16499,,1070 N BROADWAY ST,,,,PORTLAND,TN,37148,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PORTLAND,TN,37148
NO,LG022616E132,DOLLAR GENERAL #16633,,26806 STATE HWY 91,,,,HUMPHREY,NE,68642,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HUMPHREY,NE,68642
NO,LG022616E133,DOLLAR GENERAL #17067,,1700 E COURT STREET,,,,KANKAKEE,IL,60901,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,KANKAKEE,IL,60901
NO,LG022616E134,DOLLAR GENERAL #16446,,611 E MAIN STREET,,,,HAGERSTOWN,IN,47346,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HAGERSTOWN,IN,47346
NO,LG022616E135,DOLLAR GENERAL #16626,,8060 CLAY COUNTY HWY,,,,MOSS,TN,38575,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MOSS,TN,38575
NO,LG022616E136,DOLLAR GENERAL #9594,,4311 MOSS ST,,,,LAFAYETTE,LA,70507,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAFAYETTE,LA,70507
NO,LG022616E137,DOLLAR GENERAL #10340,,1769 ALEXANDRIA DR,,,,LEXINGTON,KY,40504,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LEXINGTON,KY,40504
NO,LG022616E138,DOLLAR GENERAL #11414,,2701 WALDRON RD,,,,CORPUS CHRISTI,TX,78418,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CORPUS CHRISTI,TX,78418
NO,LG022616E139,DOLLAR GENERAL #11503,,3839 BARBOURVILLE RD,,,,LONDON,KY,40744,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LONDON,KY,40744
NO,LG022616E140,DOLLAR GENERAL #9397,,2360 E NAPOLEON ST,,,,SULPHUR,LA,70663,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SULPHUR,LA,70663
NO,LG022616E141,DOLLAR GENERAL #3662,,3335 US HIGHWAY 441/27,,,,FRUITLAND PARK,FL,34731,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,FRUITLAND PARK,FL,34731
NO,LG022616E142,DOLLAR GENERAL #7124,,100 N FRY ST,,,,YATES CENTER,KS,66783,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,YATES CENTER,KS,66783
NO,LG022616E143,DOLLAR GENERAL #9975,,7090 STATE HWY 24,,,,CEDAR KEY,FL,32625,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CEDAR KEY,FL,32625
NO,LG022616E144,DOLLAR GENERAL #10630,,5514 OLD HWY 90,,,,SAN ANTONIO,TX,78227,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SAN ANTONIO,TX,78227
NO,LG022616E145,DOLLAR GENERAL #11411,,9601 NE JACKSONVILLE RD,,,,ANTHONY,FL,32617,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ANTHONY,FL,32617
NO,LG022616E146,DOLLAR GENERAL #11479,,16312 SPRING HILL DR # 6,,,,BROOKSVILLE,FL,34604,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BROOKSVILLE,FL,34604
NO,LG022616E147,DOLLAR GENERAL #11463,,13842 SE HIGHWAY 42,,,,WEIRSDALE,FL,32195,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WEIRSDALE,FL,32195
NO,LG022616E148,DOLLAR GENERAL #11535,,407 S OAK ST,,,,PEARSALL,TX,78061,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PEARSALL,TX,78061
NO,LG022616E149,DOLLAR GENERAL #4833,,417 W CALTON RD,,,,LAREDO,TX,78041,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAREDO,TX,78041
NO,LG022616E150,DOLLAR GENERAL #1088,,21 MOUNT TABOR CT,,,,SHELBYVILLE,KY,40065,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SHELBYVILLE,KY,40065
NO,LG022616E151,DOLLAR GENERAL #55,,35 ARNOLD LN,,,,BLOOMFIELD,KY,40008,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BLOOMFIELD,KY,40008
NO,LG022616E152,DOLLAR GENERAL #1187,,12 W MONROE ST,,,,BUCKNER,MO,64016,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BUCKNER,MO,64016
NO,LG022616E153,DOLLAR GENERAL #4216,,4770 HOOPER RD,,,,BATON ROUGE,LA,70811,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BATON ROUGE,LA,70811
NO,LG022616E154,DOLLAR GENERAL #6269,,808 LODBELL HWY,,,,PORT ALLEN,LA,70767,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PORT ALLEN,LA,70767
NO,LG022616E155,DOLLAR GENERAL #11475,,704 N LOCUST ST,,,,SWEET SPRINGS,MO,65351,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SWEET SPRINGS,MO,65351
NO,LG022616E156,DOLLAR GENERAL #11894,,409 W FRANKLIN ST,,,,POMONA,KS,66076,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,POMONA,KS,66076
NO,LG022616E157,DOLLAR GENERAL #10467,,6180 BEATLINE RD,,,,LONG BEACH,MS,39560,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LONG BEACH,MS,39560
NO,LG022616E158,DOLLAR GENERAL #11640,,1031 SECOND ST,,,,OSYKA,MS,39657,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,OSYKA,MS,39657
NO,LG022616E159,DOLLAR GENERAL #338,,1645 ASHLAND RD,,,,GREENUP,KY,41144,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GREENUP,KY,41144
NO,LG022616E160,DOLLAR GENERAL #1332,,856 S BROAD ST,,,,BROOKSVILLE,FL,34601,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BROOKSVILLE,FL,34601
NO,LG022616E161,DOLLAR GENERAL #86,,21213 HIGHWAY 421 #5,,,,HYDEN,KY,41749,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HYDEN,KY,41749
NO,LG022616E162,DOLLAR GENERAL #915,,800 SENECA TRAIL N,,,,MARLINTON,WV,24954,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MARLINTON,WV,24954
NO,LG022616E163,DOLLAR GENERAL #10042,,31550 FM 306,,,,SPRING BRANCH,TX,78070,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SPRING BRANCH,TX,78070
NO,LG022616E164,DOLLAR GENERAL #10451,,3156 JUNCTION HWY,,,,INGRAM,TX,78025,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,INGRAM,TX,78025
NO,LG022616E165,DOLLAR GENERAL #11142,,975 N HIGHWAY 27,,,,MINNEOLA,FL,34715,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MINNEOLA,FL,34715
NO,LG022616E166,DOLLAR GENERAL #11200,,9112 N STATE HIGHWAY 16,,,,POTEET,TX,78065,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,POTEET,TX,78065
NO,LG022616E167,DOLLAR GENERAL #11376,,16885 SAN MARCOS HWY,,,,MARTINDALE,TX,78655,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MARTINDALE,TX,78655
NO,LG022616E168,DOLLAR GENERAL #11716,,4549 SW STATE ROAD 47,,,,LAKE CITY,FL,32024,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAKE CITY,FL,32024
NO,LG022616E169,DOLLAR GENERAL #1230,,643 N MORLEY ST,,,,MOBERLY,MO,65270,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MOBERLY,MO,65270
NO,LG022616E170,DOLLAR GENERAL #7023,,226 S. HOLLYWOOD RD,,,,HOUMA,LA,70360,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HOUMA,LA,70360
NO,LG022616E171,DOLLAR GENERAL #8703,,100 TYLER S/C,,,,COVINGTON,LA,70433,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,COVINGTON,LA,70433
NO,LG022616E172,DOLLAR GENERAL #11182,,216 S MAIN ST,,,,OSCEOLA,IA,50213,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,OSCEOLA,IA,50213
NO,LG022616E173,DOLLAR GENERAL #11688,,43237 PUMPKIN CENTER RD,,,,HAMMOND,LA,70403,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HAMMOND,LA,70403
